Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Germany,2009,3443.34,6104.76,33.49,,29.74,8.29,10.6,5.85,Europe
India,2001,,3523.19,25.84,11.49,16.33,19.4,11.77,16.5,Asia
Mexico,2018,3793.51,6790.08,31.03,7.76,28.88,14.24,11.8,15.53,North America
Mexico,2008,3327.08,1624.47,32.42,13.38,2.27,13.35,9.51,9.97,North America
Australia,2006,,,44.83,32.81,10.97,11.24,13.76,15.13,Oceania
Mexico,2003,2760.33,,42.01,6.21,,11.43,12.63,10.94,North America
South Africa,2020,,,43.08,,5.87,13.11,11.84,16.34,Africa
Japan,2017,4270.4,5975.57,,39.84,4.22,15.45,2.72,11.81,Asia
United States,2012,2241.6,5422.76,32.48,,18.67,15.53,2.09,11.18,North America
India,2010,7246.81,4533.05,,23.25,23.44,7.58,4.76,19.02,Asia
Germany,2023,,,20.58,,17.35,12.5,10.63,8.76,Europe
South Africa,2003,4576.65,614.67,27.79,,4.41,11.18,7.35,6.81,Africa
India,2020,7298.54,6477.6,42.81,25.96,24.33,18.06,7.23,13.77,Asia
Germany,2003,5181.78,4469.89,24.11,9.02,19.08,14.47,13.5,19.54,Europe
Canada,2009,,5657.15,,8.29,11.64,12.99,13.64,10.67,North America
Canada,2004,7548.74,3578.05,26.46,36.84,20.22,6.73,13.82,5.93,North America
China,2008,5207.81,1174.23,20.36,28.42,7.8,14.08,6.08,10.09,Asia
India,2023,3011.79,1226.23,27.24,34.03,10.36,6.76,10.98,12.59,Asia
Canada,2002,1544.54,4924.73,49.28,,27.52,10.06,5.53,7.43,North America
Germany,2016,6455.19,,44.05,25.01,8.72,7.14,4.48,14.87,Europe
China,2002,5150.55,1723.46,48.79,23.11,14.1,15.38,4.4,19.97,Asia
Mexico,2015,4500.96,3644.52,34.64,20.06,26.7,8.09,6.45,11.78,North America
Germany,2003,7204.19,823.78,23.29,16.09,21.23,10.88,7.59,10.32,Europe
China,2017,6414.48,4241.01,36.44,20.21,1.87,18.44,12.8,11.01,Asia
India,2016,1637.56,2175.36,33.63,32.09,,8.06,3.56,6.73,Asia
South Africa,2006,,5663.89,,,0.24,12.62,11.55,18.25,Africa
Australia,2023,2363.67,2448.39,22.94,,18.93,11.29,8.91,11.22,Oceania
Mexico,2022,,,34.65,20.52,13.43,5.27,5.74,10.81,North America
France,2004,,476.7,24.5,,4.03,16.89,8.41,14.9,Europe
South Africa,2011,4774.17,878.15,29.74,27.1,28.74,6.04,5.9,11.63,Africa
Brazil,2016,6218.44,2990.46,42.12,25.71,15.89,12.11,9.75,14.72,South America
Germany,2022,7075.74,3567.6,34.28,,,13.41,7.64,5.92,Europe
Brazil,2012,3065.61,,31.28,13.31,15.02,14.43,4.14,17.21,South America
South Africa,2022,6659.43,,31.83,22.93,20.39,15.33,3.52,19.11,Africa
China,2002,,4986.88,33.78,8.65,2.29,8.8,9.11,14.73,Asia
France,2008,6848.39,6076.81,43.55,,8.24,5.15,13.73,19.32,Europe
Mexico,2016,1456.16,5547.02,46.76,22.07,24.21,15.85,6.47,7.27,North America
Mexico,2016,3479.65,661.48,48.66,,13.79,13.03,11.53,12.16,North America
Mexico,2019,6479.72,3571.35,,38.27,16.4,17.54,10.56,14.03,North America
France,2015,1624.38,1092.54,29.46,26.02,12.98,17.32,14.11,13.73,Europe
United States,2021,2219.39,1997.5,40.64,31.03,1.32,17.65,12.67,11.02,North America
France,2012,5916.89,6911.97,33.13,22.72,,12.28,9.37,10.07,Europe
Australia,2018,,1340.47,,27.19,13.37,10,10.54,6.9,Oceania
France,2016,5308.61,3692.66,45.23,,6.28,16.87,13.68,10.88,Europe
South Africa,2003,5704.61,4479.83,21.15,13.9,1.5,11.77,7.19,7.44,Africa
United States,2011,,5036.27,47.05,,25.31,7.75,6.25,16.02,North America
Mexico,2008,,4093.68,33.84,21.54,29.44,17.82,2.14,8.13,North America
South Africa,2018,,464.49,,6.6,23.79,18.24,12.75,5.88,Africa
South Africa,2011,1861.98,,,,25.61,11.99,12.41,13.29,Africa
Russia,2008,7313.38,3816.9,46.85,,7.26,6.14,3.36,13.93,Europe
Japan,2006,4875.44,979.92,39.1,39,28.82,10.82,9.5,18.08,Asia
United States,2013,3506.39,2714.14,38.42,16.6,5.91,17.05,8.03,13.65,North America
South Africa,2019,3965.04,,22,21.87,28.54,18.53,3.54,10.18,Africa
Japan,2018,7604.63,918.62,35.55,,29.84,8.05,14.75,17.05,Asia
Japan,2014,1650.14,3019.69,24.51,26.38,,6,4.79,13.1,Asia
United States,2015,4896.72,1275.92,42.12,14.82,29.43,18.16,2.87,6.19,North America
Russia,2020,4294.17,4145.77,35.37,12.24,,10.84,9.73,13.49,Europe
Brazil,2004,5085.91,4950.47,40.41,23.08,7.79,13.13,11.61,18.62,South America
China,2002,635.83,5683.87,21.25,5.19,13.11,19.52,2.42,10.94,Asia
Australia,2011,,1720.99,22.54,5.27,17.81,6,10.56,9.44,Oceania
China,2019,7490.89,,41.49,12.67,2.19,14.72,8.92,7.15,Asia
France,2020,4738.5,1090.15,22.16,,,6.11,3.34,7.27,Europe
Mexico,2003,,4600.44,22.14,,29.44,10.63,4.24,11.49,North America
Australia,2020,7418.75,5062.74,20.36,16.86,,17.06,9.38,13.94,Oceania
France,2022,5804.29,,48.7,33.09,23.78,11.5,5.85,6.21,Europe
South Africa,2015,,6579,42.13,25.02,,19.96,14.2,19.09,Africa
Mexico,2006,4822.16,743.01,30.6,22.94,28.31,13.39,12.64,16.33,North America
Germany,2012,5050.36,3972.56,28.9,15.27,28.8,9.82,14.79,13.8,Europe
United States,2020,,5079.8,,37.61,15.64,8.3,5.38,17.43,North America
Australia,2009,,6148.4,43.24,18.9,29.32,10.26,14.61,6.2,Oceania
Australia,2006,7507.75,5112.97,39.84,8.05,22.72,10.59,7.61,12.15,Oceania
South Africa,2013,7441.76,5691.41,25.56,26.6,4.85,6.03,6.52,14.45,Africa
Brazil,2004,3881.3,2640.37,25.22,8.98,14.31,10.54,2.65,17.43,South America
Japan,2002,1349.29,5777.85,,,21.55,11.96,2.69,16.75,Asia
Mexico,2022,7886.31,928.76,39.81,22.76,7.42,15.84,11,9.16,North America
South Africa,2010,6791.74,6305.79,42.93,35.6,19.22,14.85,7.95,19.11,Africa
Canada,2010,1434.97,,27.95,22.27,20,15.63,4.94,6.87,North America
Russia,2017,7406.31,5794.17,,29.58,4.88,5.13,9.98,18.13,Europe
Japan,2014,7024.22,3385.3,22.47,39.75,16.95,8.27,5.29,19.56,Asia
United States,2011,4391.29,4647.61,49.04,9.6,,14.93,9.51,7.66,North America
Japan,2008,4934.57,3874.26,28.86,14.62,,12.26,6.67,15.83,Asia
Brazil,2009,3492.52,5228.49,43.08,18.81,0.36,5.08,12.71,5.6,South America
Japan,2011,910.71,,38.74,19.76,0.27,17.07,12.67,11.08,Asia
United States,2016,3013.98,798.32,31.46,19.39,10.71,16.59,8.21,12.74,North America
Brazil,2005,6521.4,2030.88,26.17,,27.79,13.23,6.56,13.71,South America
China,2006,534.74,1452.99,,29.99,,6,6.71,19.04,Asia
Australia,2013,3001.24,6153.77,38.45,26.28,19.03,16.5,12.47,15.08,Oceania
Australia,2012,3486.27,1846.81,43.24,15.83,,13.76,6.27,12.22,Oceania
Russia,2007,4530.47,6840.71,,33.83,9.65,16.73,4.72,17.15,Europe
France,2009,7398.92,2623.51,,,25.44,16.28,3.1,19.26,Europe
China,2008,3097.59,1601.98,21.26,,21.87,17.05,8.07,5.33,Asia
China,2017,,5612.01,49.05,,2.86,12.77,8.27,19.74,Asia
Mexico,2001,6031.26,,43.96,27.27,12.86,7.1,12.93,6.29,North America
Japan,2004,3891.63,,28.78,6.79,,15.07,4.88,17.22,Asia
Australia,2004,,,49.4,,14.43,14.31,6.95,9.21,Oceania
United States,2005,3893.3,,,7.08,19.87,16.13,12.51,6.98,North America
India,2018,1556.43,1907.8,37.47,26.13,3.56,7.55,12.71,11.6,Asia
India,2007,1822.9,6975.8,42.44,,8.67,7.92,7,14.66,Asia
Brazil,2015,4237.76,6833.63,44.35,9.01,,18.36,7.97,10.71,South America
Australia,2012,3641.94,,,18.43,27.59,16.25,5.94,5.82,Oceania
Australia,2000,,1716.98,,,,18.62,14.12,13.99,Oceania
Russia,2021,3217.95,,,,1.35,16.38,3.54,18.54,Europe
India,2019,,876.51,47.84,9.24,22.83,13.96,14.14,10.75,Asia
Australia,2016,5241.98,602.31,26.74,19.66,11.15,14.81,10.89,8.24,Oceania
Russia,2006,598.21,2100.71,31.17,,11.77,18.34,8.91,11.64,Europe
Japan,2012,5476.53,3453.31,32.96,7.49,,13.68,2.42,5.73,Asia
Canada,2003,1835.27,6130.6,,7.81,27.55,14.49,8.18,17.31,North America
Mexico,2003,7708.03,5199.32,38.39,17.42,28.53,7.35,7.3,17.4,North America
Germany,2005,1614.97,5301.86,48.29,37.96,17.31,12.11,4.1,13.82,Europe
China,2018,,3208.26,27.22,28.4,10.71,15.75,10.53,10.3,Asia
France,2011,1140.12,2683.17,23.65,28.75,23.63,9.06,14.62,17,Europe
Brazil,2021,7976.56,2848.86,,17.67,7.53,8.03,9.31,13.32,South America
Canada,2006,,6918.49,,25.78,16.92,9.71,11.29,17.39,North America
Mexico,2009,4965.39,664.72,39.37,5.35,10.76,8.62,2.89,14.47,North America
Mexico,2018,1003.07,6122.41,28.58,27.26,19.7,8.22,7.43,16.77,North America
Mexico,2006,6124.7,,44.48,36.97,7.21,11.37,3.51,13.98,North America
Mexico,2002,2074.29,3294.86,45.84,26.44,,18.62,9.97,11.21,North America
India,2012,7235.41,5186.7,45.4,35.58,27.55,12.61,14.2,19.37,Asia
Russia,2012,,3612.02,47.57,,3.05,7.82,10.6,13.12,Europe
China,2017,1930.16,6164.59,,,,6.15,3,14.08,Asia
Australia,2019,774.12,6344.63,42.65,,6.63,15.44,6.61,8.31,Oceania
Mexico,2007,4040.5,3183.36,33.82,,,10.74,9.16,14.38,North America
France,2008,4736.31,,,23.69,1.08,17.33,7.24,13.57,Europe
Australia,2006,992.81,,41.85,9.97,5.26,14.89,12.84,7.77,Oceania
United States,2000,,6421.6,43.29,5.41,26,16.94,12.59,5.89,North America
United States,2002,3899.67,,,19.77,8.47,9.08,9.95,14.07,North America
France,2012,4432.93,4511.58,,15.33,28.51,15.39,6.85,16.46,Europe
Russia,2016,3805.72,,36.35,22.01,,8.96,5.32,12.85,Europe
France,2023,3505.72,5238.55,,25.2,,19.09,3.38,8.4,Europe
India,2000,4697.3,,48.12,6.53,,14.55,6.61,15,Asia
France,2005,1664.3,5124.44,21.3,9.31,15.5,9.87,7.37,6.2,Europe
Japan,2020,1864.46,6399.61,24.94,,22.76,9.04,10.79,11.63,Asia
Australia,2005,6963.39,1585.91,23.95,17.01,8.47,7.86,10.56,7.45,Oceania
Canada,2011,7595.87,1967.79,41.78,30.52,,15.42,2.91,7.77,North America
South Africa,2012,3299.82,,,27.83,26.82,8.28,7.14,8.03,Africa
Russia,2012,2530.59,1594.45,26.41,34.6,28.39,13.93,4.36,10.8,Europe
France,2014,5330,6038.94,35.18,,,8.97,4.04,5.77,Europe
Brazil,2020,3565.51,3649.03,45.22,20.05,12.58,14.93,12.75,10.97,South America
United States,2015,690.4,,41.98,,23.41,17.22,2.54,12.68,North America
Japan,2021,1671.14,6146.95,,14.64,14.29,16.67,7.45,12.25,Asia
China,2020,,3339.01,37.71,15.72,14.93,16.41,4.19,10.74,Asia
Mexico,2010,5441.93,3797.79,35.25,32.61,6.14,7.82,13.43,17.59,North America
South Africa,2004,703.22,,28.93,20.62,17.73,6.33,9.24,7.18,Africa
Russia,2003,2164.79,4313.48,,,5.58,15.48,5.01,12.59,Europe
Canada,2002,2233.06,1479.26,40.67,33.78,,10.53,8.53,5.93,North America
South Africa,2018,5539.2,,46.2,35.01,25.65,11.49,11.51,6.07,Africa
France,2019,647.83,6798.12,39.09,,6.21,5.47,14.46,13.61,Europe
India,2017,,2103.68,42.83,20.08,,8.89,4.87,13.49,Asia
United States,2014,6499.37,4734.46,24.8,16.16,,5.51,13.52,18.17,North America
United States,2008,1839.08,2546.25,33.85,25.38,28.22,18.19,14.15,13.37,North America
China,2016,,5504.92,20.28,17.99,,8.65,13.91,19.4,Asia
India,2013,2286.37,1263.77,27.4,26.04,12.28,13.36,10.26,5.73,Asia
Mexico,2014,1245.81,6800.82,41.79,29.7,24.33,5.58,10.19,6.47,North America
Australia,2000,2323.79,3395.01,49.75,29.09,,15,7.24,5.66,Oceania
Germany,2020,5917,,22.98,18.11,9.97,9.85,11.78,7.78,Europe
Japan,2021,,885.08,32.04,10.84,20.81,18.47,8.91,13.12,Asia
United States,2021,,1520.4,,20.07,23.13,18.32,10.81,14.68,North America
Brazil,2002,3478.88,,26.12,9.99,,9.88,7.57,5.68,South America
United States,2015,5510.64,2624.22,36.65,,4.55,18.51,11.51,19.19,North America
South Africa,2022,2037.38,5870.63,41.99,17.11,26.28,19.94,12.72,17.63,Africa
United States,2010,,3243.86,38.48,10.41,,17.38,3.9,9.45,North America
Russia,2011,7222.52,2041.51,25.64,5.89,8.47,17.67,12.83,6.16,Europe
United States,2009,597.51,,,27.6,,8.74,9.02,7.55,North America
Germany,2015,,5064.73,43.51,27.29,1.13,13.65,12.98,6.9,Europe
Germany,2007,,1502.48,36.63,16.92,,6.01,7.61,6.85,Europe
Mexico,2005,698.99,1506.29,20.16,7.51,22.97,6.42,6.93,12.78,North America
Canada,2011,1860.77,,,,0,19.98,13.9,8.69,North America
Australia,2023,4872.81,5260.25,21.06,,12.5,9.9,5.27,10.37,Oceania
Brazil,2020,3660.68,,42.37,28.7,15.68,16.22,12.97,19.84,South America
United States,2007,7195.04,3532.56,,26.2,1.64,17.1,8.29,15.26,North America
United States,2003,6630.83,5971.52,,17.76,29.19,17.87,8.68,19.23,North America
Japan,2007,3063.63,5717.42,31.04,,6.78,19.96,6.01,7.14,Asia
Germany,2017,2445.68,4263.34,29.81,39.58,9.13,8.62,9.45,10.73,Europe
Brazil,2004,3347.69,6130.59,24.47,20.89,9.12,5.61,6.23,13.32,South America
Mexico,2008,4927.21,1758.55,,29.09,6.91,11.17,2.51,6.15,North America
China,2003,,1138.67,,,0.04,6.95,5.54,5.06,Asia
Canada,2021,5181.12,2180.35,,22,21.88,5.34,2.08,15.06,North America
Australia,2016,3570.59,776.77,31.05,5.96,29.01,10.41,14.72,14.63,Oceania
India,2008,4640.35,,33.46,,,16.76,14.55,11.16,Asia
Australia,2000,3770.95,,41.66,38.74,19.89,13.49,7.14,12.34,Oceania
Russia,2020,,659.67,,18.45,22.26,9.69,11.47,11.23,Europe
South Africa,2019,7613.4,1205.93,37.79,,25.45,14.82,6.5,5.36,Africa
Russia,2012,6227.04,3384.51,31.75,6.08,12.68,8.48,10.72,10.03,Europe
United States,2015,1550.85,,,18.58,,5.22,12.47,7.66,North America
Canada,2012,7013.51,2486.63,40.87,10.6,9.76,16.47,14.31,6.48,North America
South Africa,2013,4155.73,,20.1,5.82,,14.36,7.2,19.35,Africa
Brazil,2002,7209.14,674.38,38.59,,24.5,16.43,12.18,13.99,South America
India,2005,6498.91,,,21.05,5.45,5.58,5.46,15.93,Asia
Germany,2017,3689.1,6911.76,,15.12,11.13,17.56,14.87,9.73,Europe
Canada,2018,668.52,6769.78,22.79,36.5,27.06,14.29,2.34,10.9,North America
Canada,2004,2515.08,432.6,37.65,9.06,24.2,13.45,9.85,8.55,North America
Russia,2014,4562.26,6681.96,34.43,38.46,29.55,14.37,10.57,6.45,Europe
United States,2001,5251.09,4618.19,39.27,15.99,22.63,17.97,10.94,7.69,North America
France,2009,2434.16,6128.26,21.95,36.09,11.8,13.8,3.57,16.96,Europe
Mexico,2023,1545.17,3401.28,37.4,26.1,17.72,13.71,14.2,15.16,North America
Russia,2017,6761.98,3802.93,36.84,33.93,19.83,19.86,4.36,13.2,Europe
Canada,2012,,3626.39,36.82,39.44,2.35,16.35,10.1,12.13,North America
Japan,2004,4442.68,4801.3,38.1,15.09,16.33,11.63,4.89,18.84,Asia
India,2022,,,40.29,38.64,21.28,15.61,5.99,6.09,Asia
Mexico,2023,,,,18.63,5.02,10.84,9.1,9.21,North America
Russia,2000,637.93,2432.34,28.09,18.49,23.42,8.43,7.42,10.25,Europe
India,2021,7357.24,5050.89,44.75,16.91,17.51,13.95,4.08,16.74,Asia
Japan,2000,1383.13,,34.95,23.95,28.57,18.92,4.22,19.89,Asia
China,2017,4823.87,4844.65,22.31,10.4,1.27,18.94,7.44,8.61,Asia
Japan,2014,2555.41,6801.42,,24.38,7.96,10.13,11.84,18.11,Asia
Japan,2016,,1019.74,30.03,23.96,18.05,12.92,13.67,17.46,Asia
India,2010,5385.65,4839.17,43.55,31.67,8.9,8.17,3.09,8.37,Asia
Australia,2020,,3328.75,,34.18,21.43,19.93,7.11,10.99,Oceania
India,2021,2048.16,6129.74,43.66,20.42,22.77,19.72,3.3,11.15,Asia
France,2016,582.47,1569.19,35.52,,3.08,14.74,2.22,19.67,Europe
United States,2012,1526.64,4971.33,33.21,14.08,15.42,17.07,10.6,7.71,North America
South Africa,2000,,5931.56,24.42,11.81,15.27,15.73,9.83,16.99,Africa
Australia,2001,,6634.45,29.85,7.02,11.08,13.9,4.12,10.01,Oceania
Germany,2008,4980.6,,33.02,16.99,27.99,5.8,5.04,15.96,Europe
South Africa,2002,5003.88,3681.35,22.66,14.46,24.83,11.82,2.31,11.3,Africa
United States,2000,5487.78,4477.79,26.62,38.82,20.92,15.12,12.85,13.68,North America
Russia,2020,1815.28,6134.77,37.95,,,15.16,14.67,17.49,Europe
Mexico,2015,7358.09,4166.02,42.07,17.15,13.85,10.6,3.76,17.06,North America
France,2022,3640.78,,49.95,25.32,27.63,19.13,5.01,18,Europe
France,2005,3373.54,6544.26,,9.87,20.84,7.51,13.29,5.89,Europe
Germany,2016,,4950.88,,20.54,21.87,12.51,14.04,15.38,Europe
Australia,2004,852.24,4864.99,32.64,26.92,,15.36,7.46,7.1,Oceania
China,2004,1747.13,1823.46,39.09,22.11,8.22,15.46,2.66,11.24,Asia
Japan,2005,6035.25,4748.64,43.57,19.06,24.21,14.73,2.51,13.23,Asia
Australia,2002,1120.99,2999.51,23.55,39.78,5.86,9.13,9.46,11.04,Oceania
Mexico,2020,,4698.14,32.3,35.81,10.36,7.34,7.11,12.79,North America
China,2022,,1103.51,45.19,26.82,,14.54,2.37,19.95,Asia
France,2004,,,31.51,24.93,,13.99,9.58,7.03,Europe
India,2020,2665.2,6996.13,37.16,26.72,25.7,7.69,2.15,15.13,Asia
Mexico,2004,,718.2,,12.05,21.04,15.58,12.24,10.94,North America
United States,2009,,,,18.83,,11.83,5.98,7,North America
Germany,2009,,3085.59,30.87,,16.86,15.02,2.52,7.38,Europe
United States,2018,,6146.97,30.04,,,17.56,9.65,19.24,North America
Mexico,2016,,5563.74,20.79,24.01,14.89,7.55,7.17,18.19,North America
Brazil,2020,5477.53,,20.73,12.97,11.42,5.29,14.66,18.61,South America
Brazil,2013,7526.22,5273.76,44.95,38.74,4.89,16.69,9.07,19.87,South America
Russia,2008,5994.29,6198.2,28.19,36.83,,14.15,5.58,8.12,Europe
Australia,2013,,3067.33,35.54,30.28,,15.49,11.22,10.33,Oceania
France,2000,733.87,2558.42,28.96,23.67,11.53,17.57,5.53,15.04,Europe
France,2018,,4806.12,48.22,35.45,0.76,17.04,13.76,12.26,Europe
Japan,2012,4963.08,5731.78,27.78,9.57,25.17,19.41,6.87,11.28,Asia
Japan,2012,885.69,5431.08,32.89,32.67,0.34,13.04,9.15,10.37,Asia
Japan,2003,4222.75,5665.57,46.18,9.37,21.11,12.33,2.66,13.91,Asia
India,2000,4976.32,3274.85,45.26,32.8,29.11,11.03,7.54,13.63,Asia
South Africa,2016,3006.83,,25.58,14.65,13.13,7.31,12.82,7.42,Africa
Canada,2007,6281.84,1193.38,,35.7,7.05,13.59,12.47,12.08,North America
South Africa,2001,1299.49,3993.63,33.75,38.04,,9.16,4.92,13.3,Africa
United States,2007,1063.53,438.01,,10.21,24.51,18.82,4.94,13.55,North America
South Africa,2006,,,24,21.19,16.39,13.75,12.62,8.15,Africa
India,2001,4216.18,2818.65,22.42,39.33,29.01,13.89,14.1,16.13,Asia
Russia,2021,5663.02,,41.84,21.92,1.55,10.32,3.24,5.38,Europe
United States,2021,3761.21,4990.08,34.89,35.22,15.14,5.78,7.85,10.32,North America
South Africa,2002,2348.02,2964.48,,25.61,21.55,5.48,6.39,16.7,Africa
India,2017,6643.27,3361.38,41.89,18.14,,11.35,13.32,13.46,Asia
Canada,2011,6495.62,,,15,5.38,6.27,3.09,8.92,North America
South Africa,2000,5710.22,2863.46,24.77,12.11,24,14.1,4.74,15.42,Africa
India,2021,2541.09,1899.98,38.31,31.66,16.58,18.21,11.78,13.51,Asia
Japan,2011,4926.73,883.09,24.06,18.53,11.9,18.24,2.67,16.94,Asia
France,2004,,4382.76,,22.89,,14.89,8.4,16.03,Europe
Japan,2016,1186.87,4810.2,39.71,22.23,,8.17,7.75,14.15,Asia
France,2015,,4488.64,48.7,25.2,,17.94,6.35,12.32,Europe
Germany,2014,1526.14,3459.06,,35.3,9.29,18.29,7.13,7,Europe
Germany,2022,7626.78,2906.59,,39.33,8.7,7.95,8.89,8.92,Europe
Germany,2014,3845.04,6098,28.47,19.27,,16.06,4.1,11.29,Europe
Canada,2004,1888.5,3825.94,27.85,33.96,,9.3,9.44,13.99,North America
Japan,2020,4564.26,,27.41,31.76,,17.04,12.47,12.71,Asia
France,2013,7047.09,569.24,47.19,25.07,7.51,19.96,11.88,9.32,Europe
India,2001,,2652.24,,38.46,18.75,5.45,4,5.1,Asia
United States,2010,6549.21,2909.29,28.16,12.02,17.15,18.46,3.94,12.44,North America
India,2018,5440.88,3032.23,42.78,,24.98,14.34,5.49,9.28,Asia
United States,2006,5692.07,4229.14,33.49,34.89,27.18,19.6,6.69,16.02,North America
Brazil,2005,6868.97,3921.78,43.3,20.37,,11.98,7.31,5.36,South America
India,2001,2372.51,4412.17,21.96,34.64,,17.71,10.84,13.77,Asia
South Africa,2005,4170.69,,34.63,36.26,1.56,5.94,2.74,19.12,Africa
South Africa,2017,2159.07,5765.71,21.01,7.19,16.47,10.03,2.45,7.62,Africa
Australia,2001,7907.51,,,35.92,8.63,6.01,7.09,12.07,Oceania
Japan,2017,7580.45,6706.46,47.19,20.69,9.2,19.63,11.06,6.37,Asia
United States,2014,,520.34,24.18,,10.59,17.25,4.51,14.39,North America
United States,2018,5791.81,,35.97,,18.64,17.79,10.34,13.26,North America
Mexico,2001,7439.36,449.91,32.33,37.42,10.02,19.07,5.38,11.11,North America
